algo,jobs,machines,runs,time_best_ms,time_mean_ms,time_std_ms,makespan_best,makespan_mean,makespan_std
GA,20,5,30,20.305000,29.045767,3.535273,1288,1304.133333,12.516839
SA,20,5,30,0.000000,0.526133,1.953393,1291,1320.800000,17.376957
TS,20,5,30,167.086000,174.757800,3.173022,1288,1288.000000,0.000000
ACO,20,5,30,178.318000,186.318133,4.908365,1314,1357.600000,16.520833
PSO,20,5,30,232.883000,265.349900,14.182785,1288,1308.066667,17.789833
GA,50,10,30,79.148000,95.836200,5.892616,3191,3243.766667,22.983777
SA,50,10,30,0.000000,2.885533,3.927826,3240,3276.200000,22.321167
TS,50,10,30,1500.001000,1522.918900,9.664250,3149,3158.566667,7.389104
ACO,50,10,30,2224.497000,2267.052767,20.324937,3265,3345.166667,37.736001
PSO,50,10,30,2210.169000,2391.331667,83.677397,3200,3257.066667,22.860798
GA,100,20,30,347.163000,360.337267,7.170889,6570,6677.400000,45.817178
SA,100,20,30,10.028000,11.560767,0.753634,6783,6857.600000,58.237090
TS,100,20,30,13517.680000,13707.491100,151.534831,6321,6359.866667,22.640722
ACO,100,20,30,16899.450000,17142.282933,159.512729,6830,6949.533333,66.433131
PSO,100,20,30,12459.423000,13021.009667,311.074408,6629,6760.433333,52.408004
GA,150,20,30,537.710000,563.503833,32.009024,9461,9561.333333,62.690996
SA,150,20,30,7.024000,16.139733,4.171752,9696,9838.733333,59.871088
TS,150,20,30,27940.974000,28287.705233,182.547029,9047,9070.100000,13.065749
ACO,150,20,30,54381.242000,54823.532800,233.352486,9781,9901.066667,64.067278
PSO,150,20,30,29872.532000,30732.636867,509.053009,9491,9647.400000,82.328023
